id,client_service_id,period,stage,done_by,done_at,billed_at,paid_at,notes
083427f5-c958-41a5-b085-5a3d729b1cbe,ec05cc2d-0756-41d0-b9ab-8be9b3ea9ce5,2026-06,done,,2026-07-06 20:55:00.804000+00:00,,,
64dfa8a4-ce76-4390-aef8-3070eb752c8e,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-01,done,,2026-07-06 21:25:37.292000+00:00,,,
bacabb26-c3fa-41c3-bb7c-78a7751cbde8,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-02,done,,2026-07-06 21:25:38.472000+00:00,,,
3a13e5c5-e9c3-4fe2-ad2e-ede52f99ee96,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-03,done,,2026-07-06 21:25:40.185000+00:00,,,
90181798-0e14-4308-b1a7-f7b0bf208a65,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-04,done,,2026-07-06 21:25:42.453000+00:00,,,
655b2dd6-ab0a-4fc1-a079-90cba4eb4af5,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-05,done,,2026-07-06 21:25:44.662000+00:00,,,
893c6fdb-7f23-4616-9551-e81350c5da91,b8d95f4f-0242-47bf-9ed5-b79466caec4a,2026-06,done,,2026-07-06 21:25:46.257000+00:00,,,
2fb077f1-c014-4b26-9302-5d135f125d4b,45b511b4-4aee-468c-b899-14d4812bdc17,2026-01,done,,2026-07-06 21:34:07.575000+00:00,,,
ef67f620-fc96-49c8-9dea-ef969c1b726f,ab4bbcc2-0c15-44a1-84b4-d58de06d38d4,2026-01,done,,2026-07-06 21:34:09.687000+00:00,,,
bc2bff8d-a7f5-403f-8464-c8833ff76586,329329c9-546e-4df7-88fe-810090430f38,2026-01,done,,2026-07-06 21:34:11.799000+00:00,,,
8288cd14-4b5f-4228-a20b-0d656768b82d,7dffd252-f8d3-4168-9a2a-5822080fcc0f,2026-01,done,,2026-07-06 21:34:14.618000+00:00,,,
a24dec72-1a24-4750-aabe-a838042cb153,4c91c140-addb-4c55-bdaf-4cd9f0f6821c,2026-01,done,,2026-07-06 21:34:16.510000+00:00,,,
b82ccdfc-f674-4671-ae01-9d54c8c46e9f,67316fd5-2981-44a5-ba33-63e0dde8ff4d,2026-01,done,,2026-07-06 21:34:18.261000+00:00,,,
2221a4a1-24f5-4cde-8347-5d2c06212fda,30e30cec-4663-483e-bb80-b026133af654,2026-01,done,,2026-07-06 21:34:20.297000+00:00,,,
73531de8-7379-4b0b-b9b3-96cfceb2fdb5,e93b32c1-4e0a-4718-b6e9-87b85c9b4a25,2026-01,done,,2026-07-06 21:34:22.791000+00:00,,,
3dc596ae-fd47-423e-b313-5c24c2fb216a,07d0c570-e863-4369-863b-c7ece084f970,2026-01,done,,2026-07-06 21:34:24.326000+00:00,,,
c89a0df5-a8e9-49aa-bb32-9d1874fbe3a8,9391941a-9eba-4992-9cf0-65337f80d9e0,2026-01,done,,2026-07-06 21:34:26.018000+00:00,,,
47d62c95-eb4f-4c54-831c-a2b764a23079,a781709a-1332-4961-86ea-0965c6193875,2026-01,done,,2026-07-06 21:34:27.926000+00:00,,,
1b2b8a2e-a3ef-4f81-8515-ccc58301bf17,8520f8e7-e9f9-4878-b6ca-0e20fdf12c78,2026-01,done,,2026-07-06 21:34:31.884000+00:00,,,
978938e6-bd7d-487c-a074-318655598cf4,f43f8974-e1a6-494e-9c0e-e930c6b5ea67,2026-01,done,,2026-07-06 21:34:33.958000+00:00,,,
197bbe76-6357-4509-8193-f5a854652a09,99663be4-1e05-4fe0-92dd-099bbf660f0a,2026-01,done,,2026-07-06 21:34:54.418000+00:00,,,
4339483a-00b0-49b8-8bf5-a1b0332b7ad8,55674e51-0052-48d3-b8af-dd93cce6fb89,2026-01,done,,2026-07-06 21:34:57.540000+00:00,,,
c4b7f1c7-e0e9-4064-89a3-37a9f45fec6b,718b2ae8-6b95-4de4-9119-d938627dc123,2026-01,done,,2026-07-06 21:35:01.181000+00:00,,,
245f8097-2b59-4edc-9034-d3add4ee2cb1,fdcb6672-ddbe-4107-8522-366e08267667,2026-04,done,,2026-07-06 22:25:42.379000+00:00,,,
502da43a-bbb6-4e5f-99f2-1c64ac4442a9,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-03,done,,2026-07-06 22:24:00.758000+00:00,,,
b8b13c10-e583-40b6-8372-250a8d947a65,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-01,done,,2026-07-06 22:24:03.228000+00:00,,,
0065d1dd-1a20-4b68-a66c-58f5672ad731,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-02,done,,2026-07-06 22:24:05.214000+00:00,,,
89d8db84-ab7e-4a31-ba09-b5dc5f814a2c,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-04,done,,2026-07-06 22:24:07.350000+00:00,,,
d7b43b7a-9984-4fbd-beb5-a3595f4fc5bb,ec5c1110-8cfd-4a2b-97d4-7de769bd5e4e,2026-05,done,,2026-07-06 22:24:09.177000+00:00,,,
92368f53-b145-461b-8e46-e5ab484c6844,727186b0-a05c-4044-9109-35241097b94f,2026-07,not_started,,,,,
323c7634-b1e4-41c6-b1fa-30e5583dcda9,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-07,not_started,,,,,
52a4f41a-a390-4eef-98f4-818a9b65f25b,fdcb6672-ddbe-4107-8522-366e08267667,2026-01,done,,2026-07-06 22:25:35.104000+00:00,,,
5d7473bc-5010-4d24-9b13-3d10e3e2dc13,fdcb6672-ddbe-4107-8522-366e08267667,2026-02,done,,2026-07-06 22:25:37.913000+00:00,,,
3da3093c-5afc-4f8f-9eb6-448d5320b6ed,fdcb6672-ddbe-4107-8522-366e08267667,2026-03,done,,2026-07-06 22:25:40.436000+00:00,,,
e3768891-9bdf-40ae-a1d5-61563fd27686,fdcb6672-ddbe-4107-8522-366e08267667,2026-05,done,,2026-07-06 22:25:44.095000+00:00,,,
28c8e16d-4a03-4288-8329-00368141a123,fdcb6672-ddbe-4107-8522-366e08267667,2026-06,done,,2026-07-06 22:25:45.745000+00:00,,,
56e91f71-a223-4693-b989-284a6bf325be,51b9db0b-21f4-4c34-b681-8dcac40a8e81,2026-01,done,,2026-07-06 22:27:11.961000+00:00,,,
d5d553ab-896f-4529-a51f-5f6e7e3f50b2,51b9db0b-21f4-4c34-b681-8dcac40a8e81,2026-04,done,,2026-07-06 22:27:14.570000+00:00,,,
d1ec8bb1-154f-4a1a-adf7-e58bc19863f8,c2fb3ef2-f454-4c90-9318-5e46dca91745,2026-01,done,,2026-07-06 22:27:17.148000+00:00,,,
840d6c4a-18ee-4c1f-a502-9b4662acdea5,c2fb3ef2-f454-4c90-9318-5e46dca91745,2026-04,done,,2026-07-06 22:27:18.762000+00:00,,,
2945bcfb-34ed-4543-81f0-507086def63a,8641755f-5f43-4209-bdd6-aca2d4840d29,2026-01,done,,2026-07-06 22:27:20.837000+00:00,,,
081fcdd5-5b68-436a-b614-3a841be73627,8641755f-5f43-4209-bdd6-aca2d4840d29,2026-04,done,,2026-07-06 22:27:22.402000+00:00,,,
928553d3-5d5a-4f73-b2c8-6d5589f971ce,e378ede2-635f-46bb-99fe-91563fa3e9d8,2026-01,done,,2026-07-06 22:27:24.385000+00:00,,,
a8eb655c-75e5-4562-a26e-b7bff490c68d,e378ede2-635f-46bb-99fe-91563fa3e9d8,2026-04,done,,2026-07-06 22:27:26.255000+00:00,,,
d5f2bb77-8247-4e71-bf0a-c20b9cee021b,51b9db0b-21f4-4c34-b681-8dcac40a8e81,2026-07,in_progress,,,,,
c66560dc-5afb-4617-9e13-fbf77cdcf629,c2fb3ef2-f454-4c90-9318-5e46dca91745,2026-07,in_progress,,,,,
aa1c3ff5-cfeb-43fd-be99-cf5745452313,8641755f-5f43-4209-bdd6-aca2d4840d29,2026-07,in_progress,,,,,
55a1cb1b-e60c-47f0-ac65-4041b13aa891,e378ede2-635f-46bb-99fe-91563fa3e9d8,2026-07,in_progress,,,,,
a7995261-b631-4b42-ba52-f2588a088683,4492893a-3484-4d5b-b6ba-26ab27adcf15,2026-06,waiting_client,,,,,
56b90f47-3507-4771-9491-23662a03c66d,f1a7f48a-9583-4707-a7c9-7a10c9c2f4a1,2026-06,done,,2026-07-08 14:28:10.546000+00:00,,,
